period,accounts,matured_accounts,excluded_immature_accounts,bad_events,good_events,eligibility_status,outcome_window,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2013-02,7561,7561,0,1160,6401,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-02
2013-03,8273,8273,0,1200,7073,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-03
2013-04,9419,9419,0,1504,7915,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-04
2013-05,10350,10350,0,1720,8630,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-05
2013-06,10899,10899,0,1761,9138,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-06
2013-07,11910,11910,0,1854,10056,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-07
2013-08,12674,12674,0,1941,10733,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-08
2013-09,12987,12987,0,2052,10935,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-09
2013-10,14127,14127,0,2217,11910,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-10
2013-11,14720,14720,0,2266,12454,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-11
2013-12,15012,15012,0,2299,12713,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-12
2014-01,15614,15614,0,2477,13137,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-01
2014-02,15205,15205,0,2525,12680,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-02
2014-03,16194,16194,0,2749,13445,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-03
2014-04,18172,18172,0,3320,14852,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-04
2014-05,18098,18098,0,3321,14777,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-05
2014-06,16186,16186,0,3125,13061,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-06
2014-07,27547,27547,0,5174,22373,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-07
2014-08,17730,17730,0,3336,14394,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-08
2014-09,9960,9960,0,1879,8081,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-09
2014-10,36072,36072,0,7103,28969,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-10
2014-11,22957,22957,0,4421,18536,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-11
2014-12,9367,9367,0,1731,7636,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-12
2015-01,32216,32216,0,6458,25758,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-01
2015-02,21656,21656,0,4198,17458,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-02
2015-03,22931,22931,0,4779,18152,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-03
2015-04,31785,31785,0,6509,25276,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-04
2015-05,28711,28711,0,5882,22829,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-05
2015-06,25446,25446,0,5294,20152,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-06
2015-07,41053,41053,0,8300,32753,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-07
2015-08,31701,31701,0,6339,25362,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-08
2015-09,25150,25150,0,5180,19970,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-09
2015-10,42986,42986,0,8188,34798,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-10
2015-11,32907,32907,0,6539,26368,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-11
2015-12,39001,39001,0,8136,30865,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2015-12
2016-01,28396,28396,0,5461,22935,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-01
2016-02,34597,34597,0,6733,27864,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-02
2016-03,48927,48927,0,10590,38337,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-03
2016-04,24099,24099,0,6171,17928,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-04
2016-05,18106,18106,0,4739,13367,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-05
2016-06,20732,20732,0,5040,15692,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-06
2016-07,21724,21724,0,5781,15943,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-07
2016-08,22258,22258,0,5822,16436,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-08
2016-09,16906,16906,0,4202,12704,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-09
2016-10,18952,18952,0,4253,14699,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-10
2016-11,18994,18994,0,4610,14384,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-11
2016-12,19366,19366,0,4827,14539,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2016-12
2017-01,16391,16391,0,3718,12673,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-01
2017-02,13466,13466,0,3127,10339,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-02
2017-03,17001,17001,0,3900,13101,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-03
2017-04,13095,13095,0,3117,9978,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-04
2017-05,16143,16143,0,3866,12277,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-05
2017-06,15218,15218,0,3598,11620,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-06
2017-07,14942,14942,0,3598,11344,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-07
2017-08,15463,15463,0,3541,11922,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-08
2017-09,13372,13372,0,3339,10033,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-09
2017-10,11895,11895,0,2639,9256,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-10
2017-11,12086,12086,0,2524,9562,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-11
2017-12,10045,10045,0,2145,7900,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2017-12
2018-01,8575,0,8575,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-01
2018-02,6731,0,6731,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-02
2018-03,7151,0,7151,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-03
2018-04,6905,0,6905,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-04
2018-05,6619,0,6619,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-05
2018-06,4880,0,4880,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-06
2018-07,4307,0,4307,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-07
2018-08,3554,0,3554,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-08
2018-09,2420,0,2420,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-09
2018-10,2146,0,2146,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-10
2018-11,1627,0,1627,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-11
2018-12,1245,0,1245,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-12
